model_display_name,provider,subject,year,session,exercise,item_key,n_responses,item_accuracy,response_sd,response_min,response_max,dimension_T1,dimension_T2,dimension_T3,dimension_T4,dimension_T5,dimension_T6,dimension_T7,dimension_T8,matched_overall,matched_analysis_3,matched_physics_2
Grok 4.3,xai,analysis_3,2025,quintoapp,2,analysis_3|2025|quintoapp|E2,1,30.0,,30.0,30.0,66.25,30.0,15.0,5.0,55.0,6.25,35.71428571,0.0,True,True,False
Grok 4.5,xai,analysis_3,2025,quintoapp,2,analysis_3|2025|quintoapp|E2,1,90.25,,90.25,90.25,85.0,91.66666667,82.5,100.0,85.0,100.0,92.85714286,100.0,True,True,False
OpenAI GPT-4.1,openai,analysis_3,2025,quintoapp,2,analysis_3|2025|quintoapp|E2,1,79.0,,79.0,79.0,85.0,86.66666667,72.5,63.33333333,85.0,75.0,78.57142857,100.0,True,True,False
OpenAI o3,openai,analysis_3,2025,quintoapp,2,analysis_3|2025|quintoapp|E2,1,97.25,,97.25,97.25,92.5,100.0,100.0,100.0,92.5,93.75,100.0,100.0,True,True,False
Claude Fable 5,anthropic,analysis_3,2025,quintoapp,3,analysis_3|2025|quintoapp|E3,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Claude Haiku 4.5,anthropic,analysis_3,2025,quintoapp,3,analysis_3|2025|quintoapp|E3,1,32.10526316,,32.10526316,32.10526316,40.0,45.0,8.75,13.33333333,40.0,62.5,42.85714286,,True,True,False
Claude Sonnet 4.5,anthropic,analysis_3,2025,quintoapp,3,analysis_3|2025|quintoapp|E3,1,42.10526316,,42.10526316,42.10526316,60.0,60.0,17.5,20.0,40.0,56.25,57.14285714,,True,True,False
DeepSeek V4 Flash,deepseek,analysis_3,2025,quintoapp,3,analysis_3|2025|quintoapp|E3,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
DeepSeek V4 Flash (no thinking),deepseek,analysis_3,2025,quintoapp,3,analysis_3|2025|quintoapp|E3,1,72.36842105,,72.36842105,72.36842105,80.0,85.0,70.0,60.0,50.0,75.0,85.71428571,,True,True,False
DeepSeek V4 Pro,deepseek,analysis_3,2025,quintoapp,3,analysis_3|2025|quintoapp|E3,1,97.89473684,,97.89473684,97.89473684,100.0,100.0,100.0,93.33333333,90.0,100.0,100.0,,True,True,False
GPT-5.6 Sol,openai,analysis_3,2025,quintoapp,3,analysis_3|2025|quintoapp|E3,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Gemini 3.1 Pro Preview,google,analysis_3,2025,quintoapp,3,analysis_3|2025|quintoapp|E3,1,96.84210526,,96.84210526,96.84210526,100.0,100.0,100.0,93.33333333,80.0,100.0,100.0,,True,True,False
Gemini 3.5 Flash,google,analysis_3,2025,quintoapp,3,analysis_3|2025|quintoapp|E3,3,95.0877193,4.47626345,90.0,98.42105263,100.0,100.0,97.5,90.0,76.66666667,95.83333333,100.0,,True,True,False
Gemma 4 31B IT,google,analysis_3,2025,quintoapp,3,analysis_3|2025|quintoapp|E3,1,82.63157895,,82.63157895,82.63157895,100.0,86.66666667,92.5,63.33333333,60.0,68.75,85.71428571,,True,True,False
Grok 4.3,xai,analysis_3,2025,quintoapp,3,analysis_3|2025|quintoapp|E3,1,73.68421053,,73.68421053,73.68421053,80.0,80.0,70.0,66.66666667,60.0,75.0,85.71428571,,True,True,False
Grok 4.5,xai,analysis_3,2025,quintoapp,3,analysis_3|2025|quintoapp|E3,1,91.57894737,,91.57894737,91.57894737,80.0,100.0,100.0,93.33333333,70.0,100.0,100.0,,True,True,False
OpenAI GPT-4.1,openai,analysis_3,2025,quintoapp,3,analysis_3|2025|quintoapp|E3,1,40.52631579,,40.52631579,40.52631579,65.0,60.0,17.5,13.33333333,35.0,50.0,50.0,,True,True,False
OpenAI o3,openai,analysis_3,2025,quintoapp,3,analysis_3|2025|quintoapp|E3,1,69.47368421,,69.47368421,69.47368421,60.0,80.0,77.5,60.0,60.0,75.0,78.57142857,,True,True,False
Claude Fable 5,anthropic,analysis_3,2025,secondoapp,1,analysis_3|2025|secondoapp|E1,1,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,True,True,False
Claude Haiku 4.5,anthropic,analysis_3,2025,secondoapp,1,analysis_3|2025|secondoapp|E1,1,70.78947368,,70.78947368,70.78947368,80.0,80.0,65.0,60.0,70.0,65.625,71.42857143,,True,True,False
Claude Sonnet 4.5,anthropic,analysis_3,2025,secondoapp,1,analysis_3|2025|secondoapp|E1,1,73.15789474,,73.15789474,73.15789474,85.0,71.66666667,68.75,60.0,85.0,62.5,78.57142857,,True,True,False
